,Headline,Published Date
0,USS Canberra: US commissions first Navy warship in foreign port - Reuters,2023-07-22T07:11:00Z
1,Zambia vs. Japan live updates: Japan leads World Cup match 3-0 - FOX Sports,2023-07-22T06:36:14Z
2,"Texas man loses both arms, part of his feet after a single flea bite - New York Post ",2023-07-22T06:36:00Z
3,Sophia Smith: USA has lot more to give after opening WWC win - ESPN - ESPN,2023-07-22T05:22:00Z
4,Mega Millions jackpot grows to $820 million with a possible cash payout of $422 million - The Associated Press,2023-07-22T04:31:00Z
5,Lionel Messi's Inter Miami debut showed lots of promising signs beyond the dramatic game-winning goal - CBS Sports,2023-07-22T04:13:00Z
6,Stars Harry Connick Jr. and Michael Bublé reflect on Tony Bennett's legacy - CNN,2023-07-22T02:30:23Z
7,"Fort Bliss Army soldier killed, 5 others injured in 'tactical vehicle accident' - New York Post ",2023-07-22T02:18:00Z
8,Body of girl found in river believed to be that of 2-year-old lost in Pennsylvania flash flood - The Associated Press,2023-07-22T01:43:00Z
9,‘I pulled the trigger on the war’ - Meduza,2023-07-22T01:26:00Z
10,Kamala Harris takes pols' fight over Black history to Jacksonville - The Florida Times-Union,2023-07-22T00:56:37Z
11,Barbie Ending Explained: The End of Barbie Was Inevitable - IGN,2023-07-22T00:33:45Z
12,One of the world’s longest serving leaders is set to win another one-sided election - CNN,2023-07-22T00:17:00Z
13,"Pfizer says most tornado damage to North Carolina plant was to warehouse facility, not manufacturing lines - CNN",2023-07-22T00:11:00Z
14,Mortal Kombat 1 - Official Kombat Pack Roster Reveal Trailer (Homelander & More) | Comic Con 2023 - IGN,2023-07-22T00:01:51Z
15,Alabama GOP governor approves congressional map with just one majority-Black district despite court order - CNN,2023-07-21T23:42:00Z
16,"OpenAI, Google, others pledge to watermark AI content for safety, White House says - Reuters",2023-07-21T23:32:06Z
17,Amazon ordering corporate workers to relocate as part of return-to-office policy - New York Post ,2023-07-21T22:53:00Z
18,OpenAI Brings ChatGPT to Android as AI Boom Continues - Decrypt,2023-07-21T22:48:08Z
19,"Prigozhin's rebellion undermined Putin's standing among Russian elite, officials say - CBS News",2023-07-21T21:51:19Z
